"Rank","Name","Team","POS","G","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","EZTGT","EZTD","MTF","MTF/REC","1D","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR"
"325","Devin Asiasi","CIN","TE","12","39","8.0%","13.5","54","0.2%","4","0.9%","0.10","2","50.0%","5","0.4","0.1%","0.13","1.25","2.50","1","0.50","-1","-0.50","0","0.0%","0","0","0","0.00","0","0","0.0%","2","50.0%","0","0.0%","0","0","0.0%","0","56.3","4","1.4%","8.2%","-7.8","12.8%","10.3%","76.9%","0.0%","0.06","0.2","2.5","6.6","0.6","0.17"
"326","Jason Moore","LAC","WR","6","30","10.6%","13.0","26","0.8%","2","0.8%","0.07","1","50.0%","5","0.8","0.3%","0.17","2.50","5.00","0","0.00","1","1.00","0","0.0%","1","0","0","0.00","0","0","0.0%","1","50.0%","0","0.0%","0","0","0.0%","0","56.3","1","0.7%","8.3%","-6.3","80.0%","16.7%","3.3%","0.0%","0.05","0.3","1.5","4.7","0.8","0.16"
"327","Richard Rodgers","LAC","TE","10","24","5.2%","5.0","10","0.1%","2","0.5%","0.08","1","50.0%","4","0.4","0.1%","0.17","2.00","4.00","3","3.00","3","3.00","0","0.0%","1","0","1","1.00","0","0","0.0%","1","50.0%","0","0.0%","1","0","0.0%","0","56.3","0","0.0%","4.9%","-4.5","29.2%","12.5%","58.3%","0.0%","0.06","0.1","1.4","5.6","0.6","0.23"
"328","Erik Ezukanma","MIA","WR","2","3","3.9%","-4.0","-4","-1.7%","1","1.4%","0.33","1","100.0%","3","1.5","0.7%","1.00","3.00","3.00","7","7.00","3","3.00","0","0.0%","0","0","0","0.00","0","0","0.0%","1","100.0%","1","100.0%","0","0","0.0%","0","79.2","1","2.6%","33.3%","-1.5","33.3%","66.7%","0.0%","0.0%","0.43","0.7","1.3","1.3","0.7","0.44"
"329","Mason Kinsey","TEN","WR","2","8","14.8%","3.0","3","2.0%","1","2.2%","0.13","1","100.0%","3","1.5","0.9%","0.38","3.00","3.00","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","1","100.0%","0","0.0%","0","0","0.0%","0","79.2","1","3.4%","14.3%","-2.4","0.0%","100.0%","0.0%","0.0%","0.16","0.7","1.3","1.4","0.7","0.17"
"330","Cody White","PIT","WR","1","1","2.9%","0.0","0","0.0%","1","3.6%","1.00","1","100.0%","2","2.0","1.1%","2.00","2.00","2.00","2","2.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","1","100.0%","0","0.0%","0","0","0.0%","0","79.2","0","0.0%","100.0%","-4.0","0.0%","100.0%","0.0%","0.0%","1.20","1.2","1.2","1.4","1.4","1.36"
"331","Montrell Washington","DEN","WR","15","53","9.0%","16.9","152","-0.7%","9","1.8%","0.17","4","44.4%","2","0.1","0.1%","0.04","0.22","0.50","14","3.50","2","0.50","0","0.0%","1","0","1","0.25","0","0","0.0%","6","66.7%","4","44.4%","2","0","0.0%","0","51.6","7","2.5%","25.0%","-9.0","28.3%","66.0%","0.0%","5.7%","0.12","0.4","6.2","19.1","1.3","0.31"
"332","Drew Sample","CIN","TE","2","10","9.1%","-1.0","-2","-0.8%","2","2.2%","0.20","2","100.0%","-2","-1.0","-0.4%","-0.20","-1.00","-1.00","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","2","100.0%","1","50.0%","0","0","0.0%","0","79.2","2","3.3%","13.3%","-7.4","40.0%","0.0%","50.0%","10.0%","0.18","0.9","1.8","3.2","1.6","0.32"
"333","Hunter Long","MIA","TE","10","13","3.4%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","15.4%","7.7%","76.9%","0.0%","0.00","0.0","0.0","1.4","0.1","0.11"
"334","Preston Williams","CAR","WR","1","1","5.0%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","0.0%","100.0%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"335","Tay Martin","SF","WR","2","1","1.6%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","100.0%","0.0%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"336","Kwamie Lassiter","CIN","WR","1","3","7.1%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","100.0%","0.0%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"337","Josh Gordon","TEN","WR","2","9","16.1%","13.0","13","0.0%","1","2.0%","0.11","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","1","100.0%","1","100.0%","0","0.0%","0","0","0.0%","0","39.6","1","3.3%","20.0%","-8.9","66.7%","33.3%","0.0%","0.0%","0.00","0.0","0.0","1.8","0.9","0.20"
"338","Matt Slater","NE","WR","12","3","0.7%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","33.3%","66.7%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"339","Nick Boyle","BLT","TE","10","2","0.6%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","0.0%","0.0%","100.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"340","Jesse James","CLV","TE","2","8","11.4%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","37.5%","25.0%","37.5%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"341","Jared Bernhardt","ATL","WR","2","1","1.8%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","0.0%","0.0%","100.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"342","Tyree Jackson","PHI","TE","5","13","7.0%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","46.2%","46.2%","0.0%","7.7%","0.00","0.0","0.0","0.0","0.0","0.00"
"343","Kenny Yeboah","NYJ","TE","8","4","1.3%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","0.0%","0.0%","100.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"344","Tanner Conner","MIA","WR","7","12","4.3%","6.0","12","0.0%","2","0.8%","0.17","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","1","50.0%","1","50.0%","0","0.0%","1","0","0.0%","0","39.6","2","1.2%","16.7%","-6.8","25.0%","25.0%","50.0%","0.0%","0.00","0.0","0.0","2.7","0.4","0.23"
"345","Scotty Washington","NE","TE","1","6","16.2%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","0.0%","50.0%","50.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"346","Nikola Kalinic","IND","TE","7","3","1.2%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","33.3%","0.0%","33.3%","33.3%","0.00","0.0","0.0","0.0","0.0","0.00"
"347","Rashard Higgins","CAR","WR","2","3","4.5%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","66.7%","33.3%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"348","Noah Togiai","PHI","TE","2","2","2.4%","3.0","3","0.0%","1","1.6%","0.50","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","1","100.0%","1","100.0%","0","0.0%","0","0","0.0%","0","39.6","0","0.0%","50.0%","-6.3","0.0%","0.0%","100.0%","0.0%","0.00","0.0","0.0","1.5","0.7","0.75"
"349","James Washington","DAL","WR","2","7","9.2%","6.0","6","0.0%","1","1.4%","0.14","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","1","100.0%","0","0.0%","1","0","0.0%","0","39.6","1","2.8%","16.7%","-6.9","100.0%","0.0%","0.0%","0.0%","0.00","0.0","0.0","1.5","0.7","0.21"
"350","Lance McCutcheon","LA","WR","9","26","8.3%","14.8","59","0.0%","4","1.5%","0.15","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","1","25.0%","2","50.0%","0","0.0%","1","0","0.0%","0","39.6","3","1.8%","20.0%","-9.1","84.6%","15.4%","0.0%","0.0%","0.00","0.0","0.0","7.3","0.8","0.28"
"351","Jake Tonges","CHI","TE","3","3","3.6%","13.0","13","0.0%","1","1.8%","0.33","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","39.6","0","0.0%","33.3%","-10.0","33.3%","33.3%","33.3%","0.0%","0.00","0.0","0.0","1.2","0.4","0.41"
"352","Kaylon Geiger","TB","WR","2","1","1.0%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","100.0%","0.0%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"353","Tyler Johnson","HST","WR","2","12","18.8%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","8.3%","91.7%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"354","Johnny Johnson","HST","WR","1","5","11.9%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","60.0%","40.0%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"355","J.P. Holtz","NO","TE","6","14","6.6%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","21.4%","0.0%","64.3%","14.3%","0.00","0.0","0.0","0.0","0.0","0.00"
"356","Marcus Kemp","KC","WR","3","3","2.0%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","100.0%","0.0%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"357","Ethan Fernea","IND","WR","1","1","2.1%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","0.0%","100.0%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"358","Feleipe Franks","ATL","TE","6","6","3.4%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","16.7%","66.7%","16.7%","0.0%","0.00","0.0","0.0","0.4","0.1","0.00"
"359","Garrett Griffin","DET","TE","1","3","6.5%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","66.7%","33.3%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"360","Kirk Merritt","NO","WR","3","7","9.0%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","57.1%","42.9%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"361","Jacob Hollister","LV, MIN","TE","3","3","3.2%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","0.0%","0.0%","100.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"362","Cornell Powell","KC","WR","1","2","4.3%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","100.0%","0.0%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"363","Josh Ali","ATL","WR","2","5","7.9%","45.0","45","0.0%","1","1.8%","0.20","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","39.6","1","2.8%","25.0%","-15.0","20.0%","80.0%","0.0%","0.0%","0.00","0.0","0.0","1.8","0.9","0.36"
"364","Britain Covey","PHI","WR","17","4","0.6%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","50.0%","50.0%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"365","Dez Fitzpatrick","TEN","WR","1","2","6.5%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","100.0%","0.0%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"366","Tanner Gentry","BUF","WR","3","10","8.4%","6.0","6","0.0%","1","1.0%","0.10","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","39.6","1","1.4%","11.1%","-6.9","80.0%","20.0%","0.0%","0.0%","0.00","0.0","0.0","1.5","0.5","0.15"
"367","Javon Wims","ARZ","WR","1","5","10.6%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","80.0%","20.0%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"368","Stanley Berryhill","DET","WR","2","1","1.8%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","100.0%","0.0%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"369","Stanley Morgan","CIN","WR","14","11","1.8%","0.0","0","0.0%","1","0.2%","0.09","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","1","100.0%","1","0","0.0%","0","39.6","1","0.3%","7.7%","-6.0","81.8%","9.1%","9.1%","0.0%","0.00","0.0","0.0","4.1","0.3","0.37"
"370","Lucas Krull","NO","TE","1","5","15.6%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","40.0%","40.0%","20.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"371","Trinity Benson","DET","WR","1","4","13.3%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","50.0%","50.0%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"372","Willie Snead","SF","WR","4","15","12.0%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","60.0%","40.0%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"373","D.J. Turner","LV","WR","8","6","2.2%","-3.0","-3","0.0%","1","0.4%","0.17","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","1","100.0%","1","100.0%","1","100.0%","0","0","0.0%","0","39.6","1","0.6%","14.3%","-4.9","50.0%","50.0%","0.0%","0.0%","0.43","0.3","2.6","4.4","0.5","0.40"
"374","Charlie Woerner","SF","TE","17","24","4.3%","19.5","39","0.0%","2","0.4%","0.08","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","2","100.0%","2","100.0%","0","0.0%","0","0","0.0%","0","39.6","1","0.3%","5.0%","-11.2","20.8%","29.2%","50.0%","0.0%","0.00","0.0","0.0","3.7","0.2","0.16"
"375","Kyric Mcgowan","WAS","WR","1","4","10.5%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","50.0%","50.0%","0.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"376","Kevin Rader","TEN","TE","14","10","2.3%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","10.0%","20.0%","30.0%","40.0%","0.00","0.0","0.0","0.0","0.0","0.00"
"377","Miller Forristall","CLV","TE","4","8","5.8%","0.0","0","0.0%","0","0.0%","0.00","0","0.0%","0","0.0","0.0%","0.00","-","-","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","0","0.0%","0","0.0%","0","0","0.0%","0","0.0","0","0.0%","0.0%","-","50.0%","25.0%","25.0%","0.0%","0.00","0.0","0.0","0.0","0.0","0.00"
